_recordId,President,President,President,President,President,Senator,Senator,Senator,Senator,Senator,Senator,Senator,Senator
Response ID,Pizza - Meat Party,Soup - Vegan Party,Popcorn - Candy Party,Write-In,Write-In-TEXT,Cucumber - Vegan Party,Drumstick - Meat Party,Licorice - Candy Party,Gumdrop - Candy Party,Steak - Meat Party,Salad - Vegan Party,Write-In,Write-In-TEXT
R_1pyxEq3okOMKuCK,1,,2,,,,,2,,1,,,
R_snuTjsTEyNk6x1v,2,3,1,4,Cheese,,,1,2,,,3,Granola
R_2b0LRxSsLMA1e2Q,2,1,,,,2,,,,1,,,
R_1CpE7wTodikcThv,,1,,2,Banana,,,1,2,,3,,
R_D7bRZau3isS5HJ7,2,3,1,,,3,,,1,,2,,
R_3oO7lhNvXkEitmK,,1,2,,,2,,3,,1,,,
R_SV38qLSCOhs6Lvz,,,1,,,2,,,,3,,1,Apple
R_31MFuRkFVke16wG,1,,2,,,,1,,3,2,,,
R_2uQUlgJxO1IRQGK,,,1,,,,,1,2,,,,
R_DGgRJ5JN06xw06d,,1,,,,2,,,,,1,3,Potato
R_1EXNAe80CgSSpnt,,,1,,,,,2,1,,,,
R_2dGX2kpr5mIa6pw,1,2,,,,,1,,,2,3,,
R_3nrBUZ9pGUL3E9x,2,3,1,,,2,3,,1,,,,
R_2YySOqCazC9hV4B,1,,2,,,,,2,1,,,,
R_2uDQQcsJG2SyLSW,1,,2,3,Cheese,,1,,,2,,3,Nobody
R_1lrAj28KvRp5w2q,,1,2,,,,1,,,,,,
R_1i59fgGSj4nc4ya,,2,1,,,2,3,,,,1,,
R_28USs87CsuBbSA7,,1,2,,,1,,,,,2,,
R_1HeEUKDviHGjKur,1,,,,,,,1,2,,,,
R_1gSbLNtBA7k6iXy,,1,2,,,1,,2,,3,,,
R_1dcz99WMYzWCCOb,2,1,3,,,2,,1,,,,3,Ramen
R_3qxlEmQ8Nje9zUi,2,3,1,,,,2,,3,,1,,
R_3h54ZQ8hcslBK0F,3,2,1,,,,,,2,1,,3,Ramen
R_1ps7Bx4DaTRfnqe,3,2,1,,,1,,3,,,,2,Ramen
R_2v1c4IUpOYcanjz,2,1,3,,,,,3,2,,,1,Ramen
R_3KACdL33LWUxQ1f,1,2,3,,,,2,3,,1,,,
R_1isaGa0h8vaYA0p,2,1,3,,,1,,3,,,2,,
R_3kAkSLgVHRablhX,3,2,1,,,3,,1,2,,,,
R_09rBF79Q0BCAYEh,1,2,3,,,,2,3,,1,,,
R_WDHTmXG2K4ZyV6V,1,3,2,,,,1,,2,3,,,
R_32Sk5pp7ThqtQlG,3,2,4,1,knob,3,,,,,2,1,bob
R_2ZPLxT4mGxRJSAV,1,3,2,,,3,,1,,2,,,
R_3el90X9EWEz9Nq5,1,,2,,,,2,,3,1,,,
R_eJMYFuTpr3rBUWN,,1,,,,1,,,,,2,,
R_2dKCO5BFsCVmDX7,1,,,2,Salami,,2,,3,1,,,
R_1Qz2CojnbE5Z5hm,1,,2,,,3,1,,,2,,,
R_2c6kSkTMKOhiAZZ,1,,,,,,,1,,2,,,
R_9oZXo7W3LmPMWhr,2,3,1,,,1,,,,3,2,,
R_4HJxyLXFe9g1Rk1,,,1,2,Candy Bar,,,1,2,,,3,Pixy Stix
R_3fV0VujLNBeWJJL,2,1,3,,,1,,3,,2,,,
R_etx9OiehqyOjS5L,3,1,2,,,1,,,3,,2,,
R_27IJPlD2XJSULts,,1,2,,,3,1,,,2,,,
R_b1p4ZBbCt0hpcbz,2,,1,,,,3,1,,2,,,
R_WCgPpeawauov4VH,1,3,2,,,1,,,,2,,,
R_bfsW32pE2xigQzX,1,3,2,,,,2,,,1,,,
R_1Ne9mLRfli1oJ6y,1,,2,,,,,,1,2,,,